location,Basel,Basel,Basel,Basel,Basel,Basel
lat,47.75000,47.75000,47.75000,47.75000,47.75000,47.75000
lon,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000
asl,363.653,363.653,363.653,363.653,363.653,363.653
variable,Temperature,Precipitation Total,Relative Humidity,Wind Speed,Wind Direction,Cloud Cover Total
unit,°C,mm,%,km/h,°,%
level,2 m elevation corrected,sfc,2 m,10 m,10 m,sfc
resolution,hourly,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None,None
timestamp,Basel Temperature [2 m elevation corrected],Basel Precipitation Total,Basel Relative Humidity [2 m],Basel Wind Speed [10 m],Basel Wind Direction [10 m],Basel Cloud Cover Total
20240105T1200,7.900245,0.2,90.344864,6.2145634,190.00798,100.0
20240105T1300,8.240246,0.1,88.45523,6.5693827,189.46233,100.0
20240105T1400,8.280246,0.2,89.01207,5.7599998,180.0,99.0
20240105T1500,8.090245,0.2,89.67528,5.04,180.0,91.0
20240105T1600,7.420245,0.1,91.061104,5.4119864,183.81407,78.0
20240105T1700,7.110245,0.0,92.05645,4.6938252,175.60129,71.0
20240105T1800,6.4902453,0.0,94.15688,4.73506,171.25385,78.0
20240105T1900,5.9702454,0.0,95.85516,3.2599385,173.6598,84.0
20240105T2000,5.650245,0.0,95.63918,2.2768397,198.43495,71.0
20240105T2100,5.860245,0.0,93.72487,3.6179552,275.7106,74.0
20240105T2200,5.9502454,0.0,93.07531,4.6938257,302.4712,83.0
20240105T2300,5.790245,0.0,92.28286,6.4096174,321.84277,61.0
20240106T0000,5.7402453,0.1,92.14943,5.3517847,317.72632,88.0
20240106T0100,5.630245,0.1,91.236595,4.5536795,288.43497,95.0
20240106T0200,5.4102454,0.2,90.4483,5.2416787,285.9454,99.0
20240106T0300,5.210245,0.1,89.91965,4.3349743,265.23636,100.0
20240106T0400,5.040245,0.0,89.96792,4.379589,260.5377,100.0
20240106T0500,4.920245,0.0,90.59809,3.9763298,264.80557,100.0
20240106T0600,4.8502455,0.0,90.39915,3.7585104,253.30075,98.0
20240106T0700,4.5802455,0.0,91.02076,4.0249224,259.69516,97.0
20240106T0800,4.6602454,0.0,89.933075,3.2599385,263.65982,92.0
20240106T0900,5.2002454,0.0,89.030235,4.1046314,285.25513,91.0
20240106T1000,5.5602455,0.0,87.06864,5.506941,281.30994,97.0
20240106T1100,5.980245,0.0,84.561966,5.815978,291.8014,63.0
20240106T1200,6.2602453,0.0,82.23217,4.829907,296.56506,54.0
20240106T1300,6.2602453,0.2,81.998856,5.1165614,309.2894,40.0
20240106T1400,6.0702453,0.1,83.44102,6.792466,327.99463,49.0
20240106T1500,5.860245,0.0,84.06746,5.495161,328.39252,73.0
20240106T1600,5.4702454,0.2,85.952255,3.8939953,326.30994,87.0
20240106T1700,5.210245,0.1,86.227806,4.510787,331.38956,91.0
20240106T1800,5.1602454,0.1,86.59128,4.198285,329.03625,92.0
20240106T1900,5.1202455,0.1,87.32979,4.8965297,323.97263,94.0
20240106T2000,4.960245,0.2,88.375725,6.4096174,321.84277,95.0
20240106T2100,4.790245,0.2,89.49821,6.489992,326.30994,97.0
20240106T2200,4.730245,0.2,91.68229,4.1046314,344.74487,97.0
20240106T2300,4.6002455,0.3,92.325615,6.924738,351.02737,96.0
20240107T0000,4.5702453,0.3,92.586044,8.669949,355.23636,96.0
20240107T0100,4.4902453,0.3,93.77111,9.746631,355.7636,100.0
20240107T0200,4.3302455,0.4,94.832115,10.823973,356.18594,100.0
20240107T0300,4.1902456,0.4,95.83943,11.183201,356.30862,99.0
20240107T0400,4.0902452,0.4,95.3593,11.165805,358.1524,100.0
20240107T0500,3.8402452,0.4,95.21054,11.542478,356.42368,100.0
20240107T0600,3.6002455,0.4,95.19762,11.183201,356.30862,100.0
20240107T0700,3.4702454,0.1,96.14667,11.212135,354.47247,99.0
20240107T0800,3.4102454,0.2,96.14385,12.015589,351.38434,99.0
20240107T0900,3.5402455,0.2,96.149956,14.154915,352.69427,100.0
20240107T1000,4.1002455,0.2,95.76707,12.181625,341.0296,91.0
20240107T1100,4.3702455,0.1,92.90125,13.138765,350.5377,96.0
20240107T1200,4.7402453,0.2,88.47911,13.039754,353.65985,83.0
20240107T1300,4.730245,0.1,88.03747,12.6462,355.1009,93.0
20240107T1400,4.5402455,0.2,88.52173,15.856356,2.6025543,93.0
20240107T1500,4.0402455,0.2,88.5971,15.188415,5.440323,90.0
20240107T1600,3.4702454,0.2,89.49933,15.745627,10.539185,92.0
20240107T1700,2.7902455,0.2,90.27736,16.454008,10.080597,93.0
20240107T1800,2.2102454,0.3,90.68294,15.893093,13.091873,97.0
20240107T1900,1.7202454,0.2,91.16808,15.893093,13.091873,97.0
20240107T2000,1.3402455,0.2,90.53691,16.418526,15.255127,96.0
20240107T2100,0.9502454,0.1,89.11544,15.111424,12.380737,95.0
20240107T2200,0.4902454,0.0,88.93581,13.493999,9.211014,97.0
20240107T2300,0.080245405,0.0,87.45406,15.39184,10.7842865,85.0
20240108T0000,-0.35975462,0.0,86.6239,16.167967,11.560135,64.0
